City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,vadso,70.0744,29.7487,23.16,74,100,16.11,NO,1707096915
1,dodge city,37.7528,-100.0171,41.95,94,100,14.97,US,1707096915
2,cockburn town,21.4612,-71.1419,76.96,78,40,12.66,TC,1707096916
3,atafu village,-8.5421,-172.5159,84.25,79,100,23.35,TK,1707096916
4,adamstown,-25.066,-130.1015,77.32,77,100,10.69,PN,1707096916
5,minas de marcona,-15.2119,-75.1103,67.37,81,50,6.4,PE,1707096916
6,grytviken,-54.2811,-36.5092,36.32,74,7,11.83,GS,1707096916
7,tongchuanshi,35.0806,109.0897,26.64,83,85,2.68,CN,1707096924
8,new norfolk,-42.7826,147.0587,71.1,44,4,11.12,AU,1707096924
9,longyearbyen,78.2186,15.6401,30.04,80,75,11.5,SJ,1707096924
10,carnarvon,-24.8667,113.6333,80.22,41,5,21.47,AU,1707096820
11,namibe,-15.1961,12.1522,78.39,78,100,6.17,AO,1707096925
12,bredasdorp,-34.5322,20.0403,69.87,89,10,2.77,ZA,1707096926
13,vorgashor,67.5833,63.95,0.25,96,100,2.91,RU,1707096926
14,waitangi,-43.9535,-176.5597,61.88,80,66,12.39,NZ,1707096926
15,uturoa,-16.7333,-151.4333,81.73,77,100,10.31,PF,1707096926
16,shimoda,34.6667,138.95,46.76,93,100,18.28,JP,1707096926
17,pasni,25.2631,63.471,69.03,47,6,10.11,PK,1707096926
18,west island,-12.1568,96.8225,76.98,94,100,14.97,CC,1707096926
19,puerto baquerizo moreno,-0.9,-89.6,77.68,79,59,9.57,EC,1707096773
20,chibougamau,49.9168,-74.3659,6.42,85,0,0.0,CA,1707096928
21,edinburgh of the seven seas,-37.0676,-12.3116,60.17,72,44,12.21,SH,1707096929
22,tiksi,71.6872,128.8694,-27.63,100,78,1.68,RU,1707096929
23,yellowknife,62.456,-114.3525,-17.88,76,0,5.75,CA,1707096931
